作品Id,专辑名,作者,urlId,专辑链接,标签,作者主页链接,播放量,专辑集数,专辑描述,是否付费,价格,排名
292190,失眠小姐,夏雨嫣,qinggan/292190/,https://www.ximalaya.com/qinggan/292190/,情感生活,https://www.ximalaya.com/zhubo/2012232/,43551998,496,我的世界很小哪怕尽了全力还是有无数的地方是远方我的力量很小哪怕倾尽所有还是有...,False,,21
4137349,逍遥派,NewRadio昊翔,youshengshu/4137349/,https://www.ximalaya.com/youshengshu/4137349/,有声书,https://www.ximalaya.com/zhubo/4742669/,887258098,1612,【内容简介】 一本《南华经》，一篇《逍遥游》，引出天下功法秘笈无数。 一介秀才，得‘药王’指点，修炼返老还童之术，功法逆天。 身怀至尊魔功，登魔教教主之位，重现千年魔教之威。 魔教圣女，朝廷公主，,False,,22
14868992,《茅山道士系列之捉鬼天师》,张老道V,youshengshu/14868992/,https://www.ximalaya.com/youshengshu/14868992/,有声书,https://www.ximalaya.com/zhubo/47670850/,388855172,1568,最近更新：第1566集,False,,23
257813,睡前故事：一千零一夜,喜猫儿和它的小伙伴们,ertong/257813/,https://www.ximalaya.com/ertong/257813/,儿童,https://www.ximalaya.com/zhubo/9216785/,722567930,1311,1001夜睡前故事，给孩子夜夜好梦 宝贝们！主播圈子开通啦，快来互动玩耍吧！不知道怎么加入圈子的我教你们哦~ 方式一：进入【睡前故事：一千零一夜】专辑页面，找到圈子点击加入，见下图。,False,,24
3703879,听谢涛·三国 (第一季，正在继续),谢涛听世界,lishi/3703879/,https://www.ximalaya.com/lishi/3703879/,历史,https://www.ximalaya.com/zhubo/8889234/,431326645,525,谢涛VIP粉丝群  从春秋到三国，谢涛已经陪大家走过十年岁月。新节目《谢涛有声历史剧：三国到明清》已经上线，用4000集的体量，从三国天下三分一直讲到明清，开启下一场历史十年之约。,False,,25
19349717,华语经典老歌集（日更怀旧，车载高质）,yamapig,yinyue/19349717/,https://www.ximalaya.com/yinyue/19349717/,音乐,https://www.ximalaya.com/zhubo/1000753/,12228002,19,百听不厌的岁月经典，承载了太多人的记忆。 老歌如酒，历久沉香， 岁月匆匆，当熟悉的旋律再次响起， 如今的你是否有了不同的体会。 怀旧时光， 岁月金曲捞 致经典， 致我们的青,False,,26
12891461,【宝宝巴士】儿童故事|睡前故事,宝宝巴士,ertong/12891461/,https://www.ximalaya.com/ertong/12891461/,儿童,https://www.ximalaya.com/zhubo/51763868/,85560069,490,好故事和爱，都是无价的 ——  宝宝巴士 在宝宝巴士的原创故事中感受真善美，学会分辨假丑恶，体会这大千世界的神奇，让他们的想象力插上翅膀，再飞一会儿~宝宝巴士希望,False,,27
3820,单田芳经典—乱世枭雄,单田芳评书,xiangsheng/3820/,https://www.ximalaya.com/xiangsheng/3820/,相声评书,https://www.ximalaya.com/zhubo/1000265/,658284040,485,《乱世枭雄》讲的是东北王张作霖和其子少帅张学良的传奇故事，是著名评书艺术家单田芳先生根据大量的历史材料和广为流传的民间传说创作而成。这部评书语言生动，人物鲜明，悬念环环相扣，故事引人入胜。,False,,28
11813511,《最强兵王》福海播讲,福海有声小说,youshengshu/11813511/,https://www.ximalaya.com/youshengshu/11813511/,有声书,https://www.ximalaya.com/zhubo/55221764/,447574543,1406,【特种兵第一神书】最强兵王，虎视群雄，为国而战，为民出鞘，只有站死，绝不跪生...,False,,29
11610698,央广新闻,中国之声,toutiao/11610698/,https://www.ximalaya.com/toutiao/11610698/,头条,https://www.ximalaya.com/zhubo/19414524/,16703051,4845,《央广新闻》是中央人民广播电台第一套节目中国之声的一档新闻节目。节目内容包括综合新闻、财经资讯、文体资讯，重点关注连线报道、央广时评，权威解读新闻事件，层层推进。,False,,30
